ID, t, I
452, 4.520, 1664.0
453, 4.530, 1672.0
454, 4.540, 1677.0
455, 4.550, 1671.0
456, 4.560, 1674.0
457, 4.570, 1660.0
458, 4.580, 1663.0
459, 4.590, 1670.0
460, 4.600, 1680.0
461, 4.610, 1675.0
462, 4.620, 1672.0
463, 4.630, 1680.0
464, 4.640, 1668.0
465, 4.650, 1676.0
466, 4.660, 1684.0
467, 4.670, 1679.0
468, 4.680, 1676.0
469, 4.690, 1675.0
470, 4.700, 1677.0
471, 4.710, 1677.0
472, 4.720, 1687.0
473, 4.730, 1686.0
474, 4.740, 1675.0
475, 4.750, 1684.0
476, 4.760, 1692.0
477, 4.770, 1690.0
478, 4.780, 1687.0
479, 4.790, 1673.0
480, 4.800, 1691.0
481, 4.810, 1682.0
482, 4.820, 1683.0
483, 4.830, 1681.0
484, 4.840, 1679.0
485, 4.850, 1670.0
486, 4.860, 1670.0
487, 4.870, 1680.0
488, 4.880, 1679.0
489, 4.890, 1679.0
490, 4.900, 1678.0
491, 4.910, 1673.0
492, 4.920, 1671.0
493, 4.930, 1675.0
494, 4.940, 1680.0
495, 4.950, 1666.0
496, 4.960, 1670.0
497, 4.970, 1669.0
498, 4.980, 1670.0
499, 4.990, 1672.0
500, 5.000, 1672.0
501, 5.010, 1659.0
502, 5.020, 1673.0
503, 5.030, 1671.0
504, 5.040, 1675.0
505, 5.050, 1680.0
506, 5.060, 1664.0
507, 5.070, 1673.0
508, 5.080, 1675.0
509, 5.090, 1678.0
510, 5.100, 1682.0
511, 5.110, 1684.0
512, 5.120, 1694.0
513, 5.130, 1689.0
514, 5.140, 1688.0
515, 5.150, 1687.0
516, 5.160, 1694.0
517, 5.170, 1696.0
518, 5.180, 1686.0
519, 5.190, 1689.0
520, 5.200, 1688.0
521, 5.210, 1697.0
522, 5.220, 1700.0
523, 5.230, 1690.0
524, 5.240, 1685.0
525, 5.250, 1673.0
526, 5.260, 1691.0
527, 5.270, 1690.0
528, 5.280, 1677.0
529, 5.290, 1682.0
530, 5.300, 1677.0
531, 5.310, 1676.0
532, 5.320, 1679.0
533, 5.330, 1675.0
534, 5.340, 1684.0
535, 5.350, 1669.0
536, 5.360, 1674.0
537, 5.370, 1666.0
538, 5.380, 1666.0
539, 5.390, 1677.0
540, 5.400, 1670.0
541, 5.410, 1664.0
542, 5.420, 1670.0
543, 5.430, 1660.0
544, 5.440, 1675.0
545, 5.450, 1668.0
546, 5.460, 1676.0
547, 5.470, 1665.0
548, 5.480, 1669.0
549, 5.490, 1677.0
550, 5.500, 1669.0
551, 5.510, 1681.0
552, 5.520, 1667.0
553, 5.530, 1665.0
554, 5.540, 1671.0
555, 5.550, 1679.0
556, 5.560, 1689.0
557, 5.570, 1681.0
558, 5.580, 1681.0
559, 5.590, 1680.0
560, 5.600, 1680.0
561, 5.610, 1691.0
562, 5.620, 1699.0
563, 5.630, 1693.0
564, 5.640, 1679.0
565, 5.650, 1677.0
566, 5.660, 1695.0
567, 5.670, 1699.0
568, 5.680, 1694.0
569, 5.690, 1674.0
570, 5.700, 1681.0
571, 5.710, 1695.0
572, 5.720, 1705.0
573, 5.730, 1693.0
574, 5.740, 1678.0
575, 5.750, 1675.0
576, 5.760, 1683.0
577, 5.770, 1677.0
578, 5.780, 1680.0
579, 5.790, 1681.0
580, 5.800, 1680.0
581, 5.810, 1667.0
582, 5.820, 1662.0
583, 5.830, 1659.0
584, 5.840, 1676.0
585, 5.850, 1670.0
586, 5.860, 1655.0
587, 5.870, 1653.0
588, 5.880, 1667.0
589, 5.890, 1664.0
590, 5.900, 1678.0
591, 5.910, 1653.0
592, 5.920, 1661.0
593, 5.930, 1664.0
594, 5.940, 1678.0
595, 5.950, 1674.0
596, 5.960, 1681.0
597, 5.970, 1675.0
598, 5.980, 1677.0
599, 5.990, 1675.0
600, 6.000, 1680.0
601, 6.010, 1685.0
602, 6.020, 1692.0
603, 6.030, 1691.0
604, 6.040, 1683.0
605, 6.050, 1686.0
606, 6.060, 1699.0
607, 6.070, 1697.0
608, 6.080, 1686.0
609, 6.090, 1686.0
610, 6.100, 1691.0
611, 6.110, 1694.0
612, 6.120, 1703.0
613, 6.130, 1687.0
614, 6.140, 1685.0
615, 6.150, 1688.0
616, 6.160, 1692.0
617, 6.170, 1697.0
618, 6.180, 1693.0
619, 6.190, 1676.0
620, 6.200, 1681.0
621, 6.210, 1673.0
622, 6.220, 1687.0
623, 6.230, 1682.0
624, 6.240, 1678.0
625, 6.250, 1664.0
626, 6.260, 1668.0
627, 6.270, 1674.0
628, 6.280, 1678.0
629, 6.290, 1677.0
630, 6.300, 1675.0
631, 6.310, 1659.0
632, 6.320, 1671.0
633, 6.330, 1669.0
634, 6.340, 1673.0
635, 6.350, 1671.0
636, 6.360, 1659.0
637, 6.370, 1652.0
638, 6.380, 1661.0
639, 6.390, 1674.0
640, 6.400, 1672.0
641, 6.410, 1667.0
642, 6.420, 1674.0
643, 6.430, 1667.0
644, 6.440, 1680.0
645, 6.450, 1677.0
646, 6.460, 1679.0
647, 6.470, 1684.0
648, 6.480, 1679.0
649, 6.490, 1674.0
650, 6.500, 1673.0
651, 6.510, 1684.0
652, 6.520, 1699.0
653, 6.530, 1691.0
654, 6.540, 1679.0
655, 6.550, 1684.0
656, 6.560, 1702.0
657, 6.570, 1698.0
658, 6.580, 1685.0
659, 6.590, 1683.0
660, 6.600, 1687.0
661, 6.610, 1691.0
662, 6.620, 1703.0
663, 6.630, 1687.0
664, 6.640, 1689.0
665, 6.650, 1678.0
666, 6.660, 1693.0
667, 6.670, 1694.0
668, 6.680, 1681.0
669, 6.690, 1687.0
670, 6.700, 1670.0
671, 6.710, 1670.0
672, 6.720, 1683.0
673, 6.730, 1678.0
674, 6.740, 1680.0
675, 6.750, 1663.0
676, 6.760, 1661.0
677, 6.770, 1656.0
678, 6.780, 1664.0
679, 6.790, 1673.0
680, 6.800, 1662.0
681, 6.810, 1647.0
682, 6.820, 1654.0
683, 6.830, 1659.0
684, 6.840, 1671.0
685, 6.850, 1662.0
686, 6.860, 1655.0
687, 6.870, 1650.0
688, 6.880, 1671.0
689, 6.890, 1673.0
690, 6.900, 1670.0
691, 6.910, 1692.0
692, 6.920, 1671.0
693, 6.930, 1673.0
694, 6.940, 1679.0
695, 6.950, 1683.0
696, 6.960, 1699.0
697, 6.970, 1699.0
698, 6.980, 1687.0
699, 6.990, 1683.0
700, 7.000, 1693.0
701, 7.010, 1718.0
702, 7.020, 1711.0
703, 7.030, 1693.0
704, 7.040, 1690.0
705, 7.050, 1709.0
706, 7.060, 1716.0
